ligand_id,o_index,rep,new_smile,HeavyAtomCount,ligCover,betaScore,LinF9,XGB
3986,2,7kl1,O=C(NCc1cccc2ccccc12)c1ccc(F)cc1,21,0.905,-6.3,4.952,4.485677518367767
3988,1,6x5g,O=C(Cc1cccc2ccccc12)N1CCc2ccccc21,22,0.955,-7.1,5.255,4.907867376804352
3992,4,6x5g,O=C(O)c1cc(OCc2cccc3ccccc23)ccc1O,22,0.955,-6.7,4.962,4.660560655117035
3994,4,7kl4,O=C(O)c1c2c(nc3ccccc13)-c1ccccc1CC2,21,0.762,-5.2,5.008,5.075970469594002
4004,2,6x5g,O=c1c2ccccc2ncn1Cc1cccc2ccccc12,22,1.0,-6.7,5.082,4.739021284103393
4005,5,7kl4,Cc1cc(C)n(C(=O)Cc2cccc3ccccc23)n1,20,0.85,-5.5,4.973,5.149900669932365
4008,1,7kl1,Cc1nc(NC(=O)Cc2cccc3ccccc23)oc1C,21,0.81,-6.5,5.013,4.760705608606338
4012,2,7kl1,O=C(NCc1cccc2ccccc12)c1ccccc1F,21,0.857,-6.3,4.937,4.502997421741486
4013,2,6x5g,Cc1cc(=O)oc2c1c(C)nn2-c1cccc2ccccc12,22,0.8640000000000001,-6.8,5.112,4.911601227045059
4018,4,7kl1,c1ccc2c([C@@H]3NCCc4c3[nH]c3ccccc43)c[nH]c2c1,22,0.773,-6.5,5.0680000000000005,4.910915505170823
4023,5,6x5g,NC(=O)c1cccc(OCc2cccc3ccccc23)c1,21,1.0,-6.8,4.9910000000000005,4.514761898279191
4030,4,7kl4,O=c1cc(-c2ccccc2)nc(Nc2cccc(Cl)c2)[nH]1,21,0.7140000000000001,-6.5,4.95,5.192904424667359
4031,5,7kl1,O=C(Nc1cccc(Cl)c1)Nc1ccc2nccnc2c1,21,0.81,-5.5,5.01,5.107838811576366
4050,2,7kl4,Cc1ccc(/C=C2\C(=O)Nc3ccc(F)cc32)cc1C,20,0.7,-5.2,4.985,5.188187420964241
4051,5,7kl1,O=C1Nc2ccccc2/C1=C/c1c[nH]c(-c2ccccc2)n1,22,0.727,-6.6,5.034,4.796615799903869
4054,5,6x5g,c1cncc(-c2noc(Cc3cccc4ccccc34)n2)c1,22,0.955,-7.0,5.018,4.778141372680664
4055,4,6x5g,Cc1cc2nccc(-c3cccc4ccccc34)n2n1,20,0.85,-6.4,4.898,4.618996081829071
4078,3,7kl1,O=c1[nH]c2ccccc2n1Cc1cccc2ccccc12,21,0.857,-6.3,5.186,4.735564927816391
4084,5,7kl1,Cc1nn(C)c2c(Nc3cccc4ccccc34)ncnc12,22,0.8640000000000001,-6.2,5.1370000000000005,5.055797291815281
4090,4,6x5g,Cc1nccc(-c2cccc(NC(=O)c3cccs3)c2)n1,21,0.857,-7.1,4.999,4.896439315915107
4091,5,6x5g,COc1ccc(CO)cc1OCc1cccc2ccccc12,22,0.955,-6.0,4.963,4.414139330863953
4093,3,7kl1,O=C(Cc1ccc(F)cc1)NCc1cccc2ccccc12,22,0.818,-6.0,5.026,4.739250190019607
4106,2,6x5g,O=C1c2ccccc2C(=O)N1Cc1cccc2ccccc12,22,1.0,-6.7,5.016,4.480277386665344
4107,4,7kl4,CCOc1ccc(/C=C2\C(=O)Nc3ccccc32)cc1OC,22,0.818,-5.8,4.953,4.986794421702624
4119,1,6x5g,NC(=O)c1ccccc1OCc1cccc2ccccc12,21,0.9520000000000001,-6.8,4.925,4.341667699813843
4125,5,7kl1,COc1cccc(C(=O)NCc2cccc3ccccc23)c1,22,0.773,-6.8,5.167999999999998,4.585429327964781
4137,3,7kl1,COc1ccccc1C(=O)NCc1cccc2ccccc12,22,0.682,-6.3,4.905,4.3944121885299685
4140,5,6x5g,Cc1nc2ncnn2c(Nc2cccc3ccccc23)c1C,22,0.909,-6.2,5.122999999999998,4.938565392374991
4143,4,7kl4,c1ccc(-c2ccnc(Nc3nc4ccccc4[nH]3)n2)cc1,22,0.682,-4.7,5.013,5.04456429156661
